time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-10T05:31:30.480Z,17.8303,-66.8578,7,2.75,md,20,258,0.1464,0.17,pr,pr2020101006,2020-04-10T06:14:24.040Z,"21km SSE of Guanica, Puerto Rico",earthquake,0.54,0.44,0.28,18,reviewed,pr,pr
2020-04-10T05:25:26.094Z,38.3401,-115.2355,6.1,3,ml,21,79.48,0.275,0.191,nn,nn00721464,2020-04-10T16:23:40.699Z,"63km SSE of Currant, Nevada",earthquake,,1.3,0.38,10,reviewed,nn,nn
2020-04-10T04:40:18.954Z,12.5196,143.9972,10,5,mb,,71,1.36,0.69,us,us70008t0m,2020-04-10T16:50:20.144Z,"110km SW of Merizo Village, Guam",earthquake,10.4,1.9,0.061,86,reviewed,us,us
2020-04-10T03:46:21.337Z,-3.1052,146.8024,10,4.9,mb,,73,1.195,0.83,us,us70008szx,2020-04-10T04:06:12.040Z,"130km SSW of Lorengau, Papua New Guinea",earthquake,7.1,1.9,0.096,34,reviewed,us,us
2020-04-10T03:31:11.880Z,17.8555,-66.8696,13,2.62,md,19,248,0.12,0.18,pr,pr2020101003,2020-04-10T03:56:43.321Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.73,0.42,0.38,15,reviewed,pr,pr
2020-04-10T02:34:37.390Z,17.9015,-66.9181,11,2.51,md,14,228,0.0832,0.24,pr,pr2020101002,2020-04-10T03:17:33.288Z,"7km S of Guanica, Puerto Rico",earthquake,0.96,0.87,0.25,10,reviewed,pr,pr
2020-04-10T01:38:42.670Z,17.9788,-66.728,9,3.12,md,20,178,0.1376,0.18,pr,pr2020101001,2020-04-10T04:59:54.227Z,"2km SW of Tallaboa, Puerto Rico",earthquake,0.41,0.46,0.17,19,reviewed,pr,pr
2020-04-10T01:06:03.037Z,38.3342,-97.0004,10,2.8,mb_lg,,98,0.8,0.38,us,us70008sx5,2020-04-10T18:13:34.020Z,"2km SE of Marion, Kansas",earthquake,2.6,2,0.057,81,reviewed,us,us
2020-04-10T00:46:56.470Z,17.7766,-66.9121,8,2.5,md,14,279,0.2012,0.18,pr,pr2020101000,2020-04-10T01:24:40.788Z,"21km S of Guanica, Puerto Rico",earthquake,0.75,1.02,0.16,6,reviewed,pr,pr
2020-04-10T00:26:59.861Z,18.9919,121.1142,35,4.4,mb,,114,3.806,0.69,us,us70008swu,2020-04-10T03:00:00.040Z,"42km N of Claveria, Philippines",earthquake,12.1,2,0.095,32,reviewed,us,us
2020-04-10T00:20:31.089Z,-21.4796,33.4543,10,4.5,mb,,57,7.271,1.12,us,us70008swk,2020-04-10T11:22:08.193Z,"167km SSE of Chipinge, Zimbabwe",earthquake,8.8,1.8,0.102,28,reviewed,us,us
2020-04-09T22:48:51.920Z,39.2403333,-123.2505,2.21,2.62,md,41,69,0.05232,0.13,nc,nc73366540,2020-04-10T20:50:35.349Z,"5km SW of Redwood Valley, CA",earthquake,0.21,0.77,0.123,27,reviewed,nc,nc
